version https://git-lfs.github.com/spec/v1,year,team,preseason_pts
oid sha256:1a51d1c576c117c630ac2e2bb188afad9712930efafaaaee2e1956197fc2bfc6,,,
size 21109,,,
,2026,purdue,1485
,2026,houston,1459
,2026,florida,1382
,2026,uconn,1299
,2026,st. john's,1203
,2026,duke,1123
,2026,michigan,1084
,2026,byu,1078
,2026,kentucky,1056
,2026,texas tech,1015
,2026,louisville,966
,2026,ucla,741
,2026,arizona,715
,2026,arkansas,695
,2026,alabama,620
,2026,iowa state,616
,2026,illinois,567
,2026,tennessee,462
,2026,kansas,453
,2026,auburn,424
,2026,gonzaga,387
,2026,michigan state,188
,2026,creighton,158
,2026,wisconsin,136
,2026,north carolina,104
,2026,nc state,101
,2026,oregon,98
,2026,san diego state,74
,2026,texas,35
,2026,ohio state,23
,2026,kansas state,13
,2026,ole miss,11
,2026,usc,10
,2026,missouri,8
,2026,washington,7
,2026,vanderbilt,7
,2026,iowa,6
,2026,boise state,4
,2026,mississippi state,3
,2026,vcu,2
,2026,saint mary's,2
,2026,virginia,2
,2026,baylor,1
,2026,oklahoma,1
,2026,indiana,1
