version https://git-lfs.github.com/spec/v1,team,avg_yr,avg_height,avg_weight,has_brothers,has_twins,year
oid sha256:b6562bb7c3d2d676fc29ea555fbecc0b5f7aa7dad8e16737b215980efe37ff9c,,,,,,,
size 45478,,,,,,,
,abilene-christian,3.0659285354806243,77.1293407146452,191.56517362858582,False,False,2026.0
,air-force,1.7404958677685949,78.19545454545454,209.66735537190084,False,False,2026.0
,akron,3.3704577630958,75.5762151958471,188.04011326097213,True,False,2026.0
,alabama,2.5471204188481678,78.48391922213912,199.71391174270758,False,False,2026.0
,alabama-am,3.6607142857142856,77.47051495016612,201.39036544850498,False,False,2026.0
,alabama-state,3.177018633540373,77.2251552795031,190.29114906832297,False,False,2026.0
,albany-ny,2.933548850574713,77.16666666666667,194.36063218390805,False,False,2026.0
,alcorn-state,2.9723230490018144,76.53992740471868,192.45780399274045,False,False,2026.0
,american,2.110062893081761,77.16307277628033,198.28751123090748,False,False,2026.0
,appalachian-state,3.0149381135296625,76.23260776781903,205.00426803243704,False,False,2026.0
,arizona,2.2707051585423565,78.85612872692853,217.18646474207287,False,False,2026.0
,arizona-state,2.9130036630036633,78.29441391941391,199.40521978021977,False,False,2026.0
,arkansas,2.2990654205607477,77.94259012016022,202.05607476635515,False,False,2026.0
,arkansas-state,2.9560489352061623,77.91662890801994,204.57408246488447,False,False,2026.0
