version https://git-lfs.github.com/spec/v1,year,team,preseason_pts
oid sha256:da75f1500c9d8d4bc5c2a9c5157db9487d25960237ec3b4672a460dded3d4b97,,,
size 19285,,,
,2026,uconn,771
,2026,south carolina,740
,2026,ucla,705
,2026,texas,672
,2026,lsu,647
,2026,oklahoma,593
,2026,duke,578
,2026,tennessee,559
,2026,nc state,510
,2026,maryland,461
,2026,north carolina,440
,2026,ole miss,382
,2026,michigan,375
,2026,iowa state,363
,2026,notre dame,289
,2026,baylor,280
,2026,tcu,263
,2026,usc,235
,2026,vanderbilt,229
,2026,louisville,228
,2026,iowa,130
,2026,oklahoma state,128
,2026,michigan state,103
,2026,richmond,93
,2026,kentucky,93
,2026,washington,79
,2026,ohio state,46
,2026,west virginia,17
,2026,princeton,17
,2026,kansas state,15
,2026,minnesota,15
,2026,kansas,7
,2026,south dakota state,3
,2026,stanford,3
,2026,illinois,2
,2026,columbia,2
,2026,nebraska,2
