version https://git-lfs.github.com/spec/v1,team,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,year
oid sha256:e71f55f5cb8ea895d20790615afb0c233f8f5354de41234ec4e70640802fd4dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size 1514983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abilene-christian,Abilene Christian,33,23,10,.697,3.79,-2.98,13,5,14,2,8,4,2373,1990,1325,836,1975,.423,257,834,.308,444,579,.767,409,1170,466,367,66,499,534,2026.0
,air-force,Air Force,34,16,18,.471,-3.72,-0.63,7,13,8,5,4,12,2036,2137,1365,733,2051,.357,187,677,.276,383,532,.720,406,1161,380,294,75,441,549,2026.0
,akron,Akron,31,7,24,.226,-12.38,0.45,4,14,5,10,1,13,2156,2410,1265,752,1854,.406,236,767,.308,416,596,.698,341,1104,382,201,71,584,666,2026.0
,alabama,Alabama,33,23,10,.697,25.36,16.78,7,9,16,4,3,5,2314,2031,1320,831,1894,.439,270,749,.360,382,528,.723,345,1221,459,251,154,495,531,2026.0
,alabama-am,Alabama A&M,32,22,10,.688,-6.94,-9.90,17,1,13,1,7,5,1991,1792,1284,684,1717,.398,119,456,.261,504,756,.667,431,1221,345,303,92,618,557,2026.0
,alabama-state,Alabama State,32,17,15,.531,-16.98,-9.15,12,6,8,4,7,9,1934,2121,1286,716,1848,.387,127,483,.263,375,620,.605,464,1345,339,309,84,755,715,2026.0
,albany-ny,Albany (NY),30,14,16,.467,-4.54,-5.16,4,12,9,5,5,11,1728,1657,1220,646,1496,.432,174,517,.337,262,381,.688,277,952,400,183,61,453,439,2026.0
,alcorn-state,Alcorn State,30,17,13,.567,-16.44,-10.58,14,4,10,3,7,7,1718,1795,1204,625,1689,.370,170,577,.295,298,461,.646,349,1067,409,294,72,562,535,2026.0
,american,American,30,7,23,.233,-18.06,-7.46,5,13,4,10,3,13,1671,1989,1210,598,1646,.363,185,671,.276,290,392,.740,281,1028,350,167,61,451,371,2026.0
,appalachian-state,Appalachian State,30,11,19,.367,-2.05,1.24,4,14,8,7,3,11,1879,1845,1205,696,1642,.424,180,562,.320,307,468,.656,311,1077,424,204,63,479,492,2026.0
,arizona,Arizona,30,12,18,.400,7.25,8.61,3,15,12,8,0,9,2094,2135,1204,775,1744,.444,127,422,.301,417,556,.750,226,955,441,288,73,492,621,2026.0
,arizona-state,Arizona State,34,24,10,.706,17.24,11.29,9,9,15,2,7,7,2262,2060,1370,841,1979,.425,151,516,.293,429,590,.727,370,1238,502,322,98,565,621,2026.0
,arkansas,Arkansas,32,12,20,.375,7.83,13.40,1,15,9,9,1,10,2253,2431,1285,786,2055,.382,244,762,.320,437,589,.742,413,1288,383,250,107,531,563,2026.0
,arkansas-state,Arkansas State,33,24,9,.727,8.21,-0.29,14,4,12,2,9,6,2527,2204,1330,880,2301,.382,340,1151,.295,427,593,.720,529,1248,477,485,79,577,719,2026.0
,arkansas-pine-bluff,Arkansas-Pine Bluff,31,15,16,.484,-21.22,-12.62,10,8,8,3,5,12,1894,2118,1245,693,1797,.386,142,504,.282,366,617,.593,421,1141,365,318,66,593,544,2026.0
,army,Army,31,24,7,.774,-0.14,-8.94,14,4,13,2,11,5,2004,1704,1240,706,1713,.412,214,655,.327,378,510,.741,338,1050,462,249,62,394,455,2026.0
,auburn,Auburn,32,15,17,.469,11.25,14.81,3,13,9,7,3,8,1898,2012,1290,697,1807,.386,143,529,.270,361,511,.706,342,1006,301,342,92,519,560,2026.0
,austin-peay,Austin Peay,32,19,13,.594,-0.70,-5.67,8,10,5,9,11,3,2118,1865,1285,783,1851,.423,201,687,.293,351,499,.703,436,1164,421,294,51,511,619,2026.0
,ball-state,Ball State,33,26,7,.788,9.64,-0.80,16,2,12,2,11,4,2597,2178,1319,956,2081,.459,246,735,.335,439,638,.688,436,1463,646,255,119,565,550,2026.0
,baylor,Baylor,32,24,8,.750,24.31,12.84,13,5,15,2,7,3,2286,1919,1285,804,1894,.424,238,736,.323,440,590,.746,386,1289,488,224,199,530,507,2026.0
,bellarmine,Bellarmine,32,2,30,.063,-35.39,-0.58,0,18,1,12,1,16,1558,2611,1285,527,1666,.316,159,607,.262,345,502,.687,263,1021,265,152,43,646,515,2026.0
,belmont,Belmont,32,20,12,.625,5.62,1.40,16,4,11,4,9,5,2271,2136,1295,791,1996,.396,250,807,.310,439,615,.714,368,1194,428,319,134,412,583,2026.0
,bethune-cookman,Bethune-Cookman,33,7,26,.212,-23.70,-10.50,4,14,4,6,1,15,1842,2214,1325,629,1769,.356,130,463,.281,454,632,.718,399,1149,318,271,102,674,667,2026.0
,binghamton,Binghamton,31,19,12,.613,-3.63,-3.69,10,6,13,2,6,9,2011,1910,1255,729,1720,.424,171,527,.324,382,513,.745,354,1040,331,270,68,486,510,2026.0
