TeamID,Season,school,returning_min_pct,returning_score_pct,avg_height,avg_yr
1103,2022,akron,60.1,53.1,76,2.2
1104,2022,alabama,46.6,49.3,77,1.3
1412,2022,alabama-birmingham,60.0,63.2,77,3.1
1112,2022,arizona,48.3,45.9,80,1.5
1116,2022,arkansas,37.5,37.4,77,2.5
1120,2022,auburn,59.9,56.0,78,1.3
1124,2022,baylor,40.3,36.5,78,1.6
1129,2022,boise-state,70.2,66.2,78,2.5
1136,2022,bryant,75.4,76.8,77,2.4
1168,2022,cal-state-fullerton,72.0,75.7,77,2.3
1151,2022,chattanooga,82.3,78.5,77,3.1
1159,2022,colgate,81.1,77.3,77,2.5
1161,2022,colorado-state,93.4,96.1,76,1.7
1163,2022,connecticut,78.1,74.3,78,2.3
1166,2022,creighton,18.1,15.8,78,1.0
1172,2022,davidson,63.6,57.4,78,2.0
1174,2022,delaware,100.0,100.0,77,2.4
1181,2022,duke,40.1,37.1,78,1.1
1209,2022,georgia-state,88.4,90.7,76,2.4
1211,2022,gonzaga,46.0,44.8,79,1.5
1222,2022,houston,44.7,43.5,77,2.6
1228,2022,illinois,63.4,60.0,77,2.4
1231,2022,indiana,64.2,62.7,78,2.2
1234,2022,iowa,53.3,39.5,78,2.1
1235,2022,iowa-state,23.9,13.3,77,2.2
1240,2022,jacksonville-state,95.6,96.1,77,2.5
1242,2022,kansas,70.6,74.2,77,2.4
1246,2022,kentucky,42.2,41.9,77,2.1
1255,2022,longwood,59.2,60.6,76,2.2
1261,2022,louisiana-state,30.3,22.0,78,1.2
1260,2022,loyola-il,78.3,72.1,77,2.7
1266,2022,marquette,17.9,17.9,78,1.6
1272,2022,memphis,54.9,57.5,78,1.6
1274,2022,miami-fl,59.6,64.7,77,2.8
1276,2022,michigan,40.4,40.8,78,1.6
1277,2022,michigan-state,47.7,45.7,78,1.6
1286,2022,montana-state,85.0,87.8,77,1.9
1293,2022,murray-state,63.6,62.4,77,2.1
1308,2022,new-mexico-state,57.2,60.1,78,2.4
1313,2022,norfolk-state,44.1,42.1,77,2.1
1314,2022,north-carolina,65.2,63.2,78,1.9
1323,2022,notre-dame,79.1,78.9,78,2.4
1326,2022,ohio-state,64.5,64.8,77,2.3
1344,2022,providence,64.7,63.9,78,3.2
1345,2022,purdue,90.9,94.6,78,1.8
1350,2022,richmond,85.5,81.2,77,3.3
1353,2022,rutgers,61.0,55.3,79,2.3
1388,2022,saint-marys-ca,100.0,100.0,78,2.4
1389,2022,saint-peters,84.2,90.3,76,1.7
1361,2022,san-diego-state,60.1,50.1,77,2.3
1362,2022,san-francisco,74.8,80.7,78,2.8
1371,2022,seton-hall,58.1,56.9,79,2.7
1355,2022,south-dakota-state,99.3,99.7,77,1.9
1425,2022,southern-california,62.3,55.5,79,2.3
1397,2022,tennessee,56.3,53.6,77,1.6
1400,2022,texas,41.8,40.1,77,2.9
1394,2022,texas-am-corpus-christi,32.8,32.9,76,1.2
1395,2022,texas-christian,29.2,32.4,78,1.8
1411,2022,texas-southern,78.5,74.4,77,2.8
1403,2022,texas-tech,40.9,42.7,78,2.2
1417,2022,ucla,92.7,91.8,78,2.2
1436,2022,vermont,86.3,82.6,76,3.0
1437,2022,villanova,73.4,71.4,77,2.7
1439,2022,virginia-tech,60.2,65.6,77,2.3
1458,2022,wisconsin,42.2,33.5,78,1.7
1460,2022,wright-state,73.2,68.5,77,1.8
1461,2022,wyoming,73.1,68.4,79,1.6
1463,2022,yale,,,76,
1101,2021,abilene-christian,72.7,74.3,75,1.6
1104,2021,alabama,52.7,54.2,78,1.6
1111,2021,appalachian-state,50.0,54.9,76,1.5
1116,2021,arkansas,18.3,15.3,78,1.7
1124,2021,baylor,67.8,71.7,77,2.0
1140,2021,brigham-young,36.9,29.0,78,1.7
1364,2021,california-santa-barbara,76.7,72.8,77,2.3
1155,2021,clemson,67.7,67.5,77,1.8
1156,2021,cleveland-state,76.3,81.9,77,1.0
1159,2021,colgate,68.6,65.6,76,1.8
1160,2021,colorado,59.2,56.7,77,2.0
1163,2021,connecticut,67.4,62.9,78,1.8
1166,2021,creighton,75.3,72.8,77,2.2
1179,2021,drake,56.5,53.2,76,1.6
1180,2021,drexel,90.0,92.1,77,1.6
1186,2021,eastern-washington,80.2,73.7,77,1.6
1196,2021,florida,68.0,65.7,77,1.4
1199,2021,florida-state,55.4,51.6,80,1.7
1207,2021,georgetown,37.5,36.4,78,1.7
1210,2021,georgia-tech,75.2,77.7,76,2.5
1211,2021,gonzaga,49.1,44.9,78,1.6
1213,2021,grand-canyon,51.7,50.7,77,1.9
1216,2021,hartford,79.8,75.5,76,1.9
1222,2021,houston,73.0,78.5,77,1.8
1228,2021,illinois,70.3,68.3,77,1.6
1233,2021,iona,34.0,28.3,77,1.4
1234,2021,iowa,74.5,81.5,78,2.0
1242,2021,kansas,54.8,45.4,78,1.5
1251,2021,liberty,50.6,37.3,76,1.2
1261,2021,louisiana-state,56.2,54.4,78,1.0
1260,2021,loyola-il,89.0,91.4,76,1.8
1268,2021,maryland,56.2,48.6,78,1.9
1276,2021,michigan,56.0,54.1,78,2.2
1277,2021,michigan-state,61.1,53.1,78,1.6
1281,2021,missouri,87.1,87.6,78,2.5
1287,2021,morehead-state,48.4,47.9,77,1.6
1291,2021,mount-st-marys,71.1,70.4,77,1.6
1313,2021,norfolk-state,64.7,59.8,77,1.7
1314,2021,north-carolina,54.8,52.1,79,1.0
1422,2021,north-carolina-greensboro,56.9,63.3,77,1.7
1317,2021,north-texas,59.4,58.4,77,1.1
1325,2021,ohio,67.4,69.2,77,1.4
1326,2021,ohio-state,48.5,48.2,77,1.9
1328,2021,oklahoma,68.6,71.2,77,2.0
1329,2021,oklahoma-state,37.6,33.8,78,0.8
1331,2021,oral-roberts,40.7,44.2,76,0.9
1332,2021,oregon,40.1,38.7,78,1.8
1333,2021,oregon-state,59.3,52.6,78,1.6
1345,2021,purdue,56.7,59.0,78,1.0
1353,2021,rutgers,81.7,80.5,78,2.0
1361,2021,san-diego-state,50.0,45.7,76,2.1
1425,2021,southern-california,25.1,19.4,79,1.6
1382,2021,st-bonaventure,78.9,84.7,77,1.7
1393,2021,syracuse,75.7,71.3,78,1.6
1397,2021,tennessee,68.7,67.7,78,1.6
1400,2021,texas,96.9,97.5,78,2.3
1411,2021,texas-southern,66.0,65.1,78,2.0
1403,2021,texas-tech,42.8,41.0,76,1.4
1417,2021,ucla,86.4,88.8,77,1.4
1429,2021,utah-state,56.0,55.7,78,1.4
1437,2021,villanova,83.0,78.0,78,1.8
1438,2021,virginia,68.8,60.3,78,1.8
1433,2021,virginia-commonwealth,35.7,34.7,77,1.2
