,school,is_ap_pre_top_5,is_ap_pre_top_15,is_ap_pre_top_25,coach_WL_car,tourneys_car,sw16_car,ff_car,champ_car
0,abilene-christian,False,False,False,0.69,0,0,0,0
1,air-force,False,False,False,0.475,1,0,0,0
2,akron,False,False,False,0.589,3,1,0,0
3,alabama,False,True,True,0.671,4,1,0,0
4,alabama-am,False,False,False,0.286,0,0,0,0
5,alabama-birmingham,False,False,False,0.63,2,0,0,0
6,alabama-state,False,False,False,0.286,0,0,0,0
7,albany-ny,False,False,False,0.433,0,0,0,0
8,alcorn-state,False,False,False,0.429,0,0,0,0
9,american,False,False,False,0.417,1,0,0,0
10,appalachian-state,False,False,False,0.525,1,0,0,0
11,arizona,False,False,False,0.903,0,0,0,0
12,arizona-state,False,False,False,0.573,3,0,0,0
13,arkansas,False,False,True,0.749,4,2,0,0
14,arkansas-little-rock,False,False,False,0.44,0,0,0,0
15,arkansas-pine-bluff,False,False,False,0.226,0,0,0,0
16,arkansas-state,False,False,False,0.463,0,0,0,0
17,army,False,False,False,0.458,0,0,0,0
18,auburn,False,False,True,0.67,10,5,1,0
19,austin-peay,False,False,False,0.414,0,0,0,0
20,ball-state,False,False,False,0.471,0,0,0,0
21,baylor,False,True,True,0.644,9,5,1,1
22,bellarmine,False,False,False,0.611,0,0,0,0
23,belmont,False,False,False,0.608,1,0,0,0
24,bethune-cookman,False,False,False,0.409,1,0,0,0
25,binghamton,False,False,False,0.407,0,0,0,0
26,boise-state,False,False,False,0.626,2,0,0,0
27,boston-college,False,False,False,0.561,1,0,0,0
28,boston-university,False,False,False,0.508,0,0,0,0
29,bowling-green-state,False,False,False,0.523,0,0,0,0
30,bradley,False,False,False,0.531,1,0,0,0
31,brigham-young,False,False,False,0.638,1,0,0,0
32,brown,False,False,False,0.464,0,0,0,0
33,bryant,False,False,False,0.453,0,0,0,0
34,bucknell,False,False,False,0.552,2,0,0,0
35,buffalo,False,False,False,0.543,0,0,0,0
36,butler,False,False,False,0.489,1,0,0,0
37,cal-poly,False,False,False,0.222,0,0,0,0
38,cal-state-bakersfield,False,False,False,0.499,4,1,0,0
39,cal-state-fullerton,False,False,False,0.445,1,0,0,0
40,cal-state-northridge,False,False,False,0.496,5,2,0,0
41,california,False,False,False,0.579,5,0,0,0
42,california-baptist,False,False,False,0.578,0,0,0,0
43,california-davis,False,False,False,0.499,2,1,0,0
44,california-irvine,False,False,False,0.607,2,0,0,0
45,california-riverside,False,False,False,0.612,0,0,0,0
46,california-san-diego,False,False,False,0.435,0,0,0,0
47,california-santa-barbara,False,False,False,0.592,1,0,0,0
48,campbell,False,False,False,0.488,0,0,0,0
49,canisius,False,False,False,0.469,0,0,0,0
50,central-arkansas,False,False,False,0.329,0,0,0,0
51,central-connecticut-state,False,False,False,0.25,0,0,0,0
52,central-florida,False,False,False,0.591,2,1,0,0
53,central-michigan,False,False,False,0.481,1,0,0,0
54,charleston-southern,False,False,False,0.419,0,0,0,0
55,charlotte,False,False,False,0.442,0,0,0,0
56,chattanooga,False,False,False,0.545,0,0,0,0
57,chicago-state,False,False,False,0.226,0,0,0,0
58,cincinnati,False,False,False,0.575,2,0,0,0
59,citadel,False,False,False,0.436,0,0,0,0
60,clemson,False,False,False,0.606,6,1,0,0
61,cleveland-state,False,False,False,0.568,1,0,0,0
62,coastal-carolina,False,False,False,0.602,10,3,0,0
63,colgate,False,False,False,0.515,2,0,0,0
64,college-of-charleston,False,False,False,0.65,2,0,0,0
65,colorado,False,False,False,0.585,5,0,0,0
66,colorado-state,False,False,False,0.54,0,0,0,0
67,columbia,False,False,False,0.387,0,0,0,0
68,connecticut,False,False,True,0.598,3,0,0,0
69,coppin-state,False,False,False,0.272,0,0,0,0
70,cornell,False,False,False,0.407,0,0,0,0
71,creighton,False,False,False,0.613,9,1,0,0
72,dartmouth,False,False,False,0.333,0,0,0,0
73,davidson,False,False,False,0.626,9,1,0,0
74,dayton,False,False,False,0.647,3,0,0,0
75,delaware,False,False,False,0.517,0,0,0,0
76,delaware-state,False,False,False,0.074,0,0,0,0
77,denver,False,False,False,0.344,0,0,0,0
78,depaul,False,False,False,0.386,0,0,0,0
79,detroit-mercy,False,False,False,0.562,9,1,1,0
80,dixie-state,False,False,False,0.404,0,0,0,0
81,drake,False,False,False,0.712,1,0,0,0
82,drexel,False,False,False,0.454,1,0,0,0
83,duke,False,True,True,0.766,35,25,12,5
84,duquesne,False,False,False,0.62,3,0,0,0
85,east-carolina,False,False,False,0.55,2,0,0,0
86,east-tennessee-state,False,False,False,0.469,0,0,0,0
87,eastern-illinois,False,False,False,0.485,0,0,0,0
88,eastern-kentucky,False,False,False,0.516,0,0,0,0
89,eastern-michigan,False,False,False,0.49,4,1,0,0
90,eastern-washington,False,False,False,0.548,0,0,0,0
91,elon,False,False,False,0.393,0,0,0,0
92,evansville,False,False,False,0.517,2,2,0,0
93,fairfield,False,False,False,0.4,0,0,0,0
94,fairleigh-dickinson,False,False,False,0.39,2,0,0,0
95,florida,False,False,False,0.657,4,1,0,0
96,florida-am,False,False,False,0.399,0,0,0,0
97,florida-atlantic,False,False,False,0.546,0,0,0,0
98,florida-gulf-coast,False,False,False,0.482,0,0,0,0
99,florida-international,False,False,False,0.512,0,0,0,0
100,florida-state,False,False,True,0.578,11,5,0,0
101,fordham,False,False,False,0.5,0,0,0,0
