TeamID,Season,school,preseason_pts
1104,2003,alabama,1295
1112,2003,arizona,1773
1113,2003,arizona state,4
1123,2003,ball state,7
1130,2003,boston college,56
1143,2003,california,3
1153,2003,cincinnati,303
1166,2003,creighton,49
1181,2003,duke,1394
1196,2003,florida,1298
1207,2003,georgetown,6
1208,2003,georgia,703
1210,2003,georgia tech,22
1211,2003,gonzaga,381
1218,2003,hawai'i,5
1221,2003,holy cross,1
1228,2003,illinois,47
1231,2003,indiana,415
1242,2003,kansas,1715
1246,2003,kentucky,627
1257,2003,louisville,32
1261,2003,lsu,13
1266,2003,marquette,509
1268,2003,maryland,789
1272,2003,memphis,2
1277,2003,michigan state,1117
1278,2003,minnesota,183
1280,2003,mississippi state,800
1281,2003,missouri,506
1301,2003,nc state,41
1323,2003,notre dame,58
1325,2003,ohio,3
1326,2003,ohio state,48
1328,2003,oklahoma,1640
1329,2003,oklahoma state,30
1279,2003,ole miss,9
1332,2003,oregon,995
1335,2003,pennsylvania,7
1337,2003,pepperdine,36
1338,2003,pittsburgh,1404
1356,2003,southern illinois,2
1385,2003,st. john's,3
1390,2003,stanford,8
1393,2003,syracuse,79
1396,2003,temple,21
1400,2003,texas,1422
1403,2003,texas tech,26
1409,2003,tulsa,146
1417,2003,ucla,747
1163,2003,uconn,722
1424,2003,unlv,13
1425,2003,usc,20
1428,2003,utah,1
1437,2003,villanova,92
1438,2003,virginia,120
1443,2003,western kentucky,480
1458,2003,wisconsin,95
1461,2003,wyoming,61
1462,2003,xavier,1016
1104,2004,alabama,7
1112,2004,arizona,1494
1113,2004,arizona state,15
1116,2004,arkansas,2
1120,2004,auburn,15
1139,2004,butler,5
1140,2004,byu,23
1143,2004,california,61
1153,2004,cincinnati,538
1160,2004,colorado,12
1173,2004,dayton,1
1181,2004,duke,1677
1196,2004,florida,1217
1208,2004,georgia,3
1211,2004,gonzaga,714
1228,2004,illinois,946
1231,2004,indiana,1
1242,2004,kansas,1414
1246,2004,kentucky,1115
1257,2004,louisville,615
1261,2004,lsu,14
1264,2004,manhattan,5
1266,2004,marquette,226
1268,2004,maryland,64
1272,2004,memphis,12
1276,2004,michigan,6
1277,2004,michigan state,1623
1280,2004,mississippi state,8
1281,2004,missouri,1438
1301,2004,nc state,118
1305,2004,nevada,3
1314,2004,north carolina,1172
1296,2004,northern illinois,3
1323,2004,notre dame,427
1326,2004,ohio state,39
1328,2004,oklahoma,862
1329,2004,oklahoma state,102
1332,2004,oregon,57
1338,2004,pittsburgh,348
1344,2004,providence,13
1345,2004,purdue,7
1386,2004,saint joseph's,865
1371,2004,seton hall,1
1390,2004,stanford,521
1393,2004,syracuse,1334
1396,2004,temple,5
1400,2004,texas,1100
1417,2004,ucla,13
1163,2004,uconn,1796
1227,2004,uic,2
1425,2004,usc,8
1428,2004,utah,30
1436,2004,vermont,2
1448,2004,wake forest,528
1455,2004,wichita state,3
1458,2004,wisconsin,719
1462,2004,xavier,63
1104,2005,alabama,510
1112,2005,arizona,1061
1130,2005,boston college,7
1150,2005,charlotte,37
1153,2005,cincinnati,30
1177,2005,depaul,1
1181,2005,duke,981
1190,2005,east tennessee state,4
1196,2005,florida,337
1203,2005,george washington,6
