Season,TeamID,total_games,num_wins,num_losses,win_pct,avg_points_for,avg_points_against,avg_game_margin,std_game_margin,non_home_wins,home_losses,close_wins,close_losses,3FGA_pg,3FGM_pg,3_pct,FTM_pg,FTA_pg,FT_pct,TOV_pg,avg_pace,off_eff,def_eff,pythag_win_pct,luck,Seed,wins_vs_tourney_teams,away_wins_vs_tourney_teams,losses_vs_tourney_teams,losses_vs_non_tourney_teams,games_vs_tourney_teams,final_net,prev_net,net_improvement,final_pom,prev_pom,pom_improvement
2003,1102,28,12,16,0.42857142857142855,57.25,57.0,0.25,15.878163351866972,3.0,4.0,0.0,2.0,20.821428571428573,7.821428571428571,0.3756432246998284,11.142857142857142,17.107142857142858,0.6513569937369519,11.428571428571429,52.23291428571427,109.2735614504805,109.52292218703029,0.5152141445659166,-0.08664271599448808,None,1.0,0.0,7.0,9.0,8.0,158.0,149.0,-9.0,160.0,151.0,-9.0
2003,1103,27,13,14,0.48148148148148145,78.77777777777777,78.14814814814815,0.6296296296296297,11.126039354355962,4.0,5.0,4.0,6.0,16.074074074074073,5.444444444444445,0.33870967741935487,19.037037037037038,25.85185185185185,0.7363896848137537,12.62962962962963,64.91779160493827,116.65111759688682,116.4890337052415,0.5278765693604839,-0.04639508787900243,None,1.0,1.0,1.0,13.0,2.0,182.0,198.0,16.0,163.0,187.0,24.0
2003,1104,28,17,11,0.6071428571428571,69.28571428571429,65.0,4.285714285714286,13.149842863963764,4.0,2.0,1.0,2.0,19.857142857142858,6.357142857142857,0.3201438848920863,14.857142857142858,20.928571428571427,0.7098976109215018,13.285714285714286,63.168152380952385,108.88296656506783,103.09962955221305,0.7085132014893325,-0.1013703443464754,Y10,5.0,1.0,6.0,5.0,11.0,38.0,27.0,-11.0,33.0,39.0,6.0
2003,1105,26,7,19,0.2692307692307692,71.76923076923077,76.65384615384616,-4.884615384615385,15.552212118382,2.0,7.0,1.0,7.0,20.76923076923077,7.576923076923077,0.3648148148148148,15.423076923076923,21.846153846153847,0.7059859154929577,18.653846153846153,71.46149743589743,97.8564451246281,106.38480179902527,0.285796240334266,-0.016565471103496765,None,1.0,0.0,3.0,16.0,4.0,313.0,316.0,3.0,307.0,313.0,6.0
2003,1106,28,13,15,0.4642857142857143,63.607142857142854,63.75,-0.14285714285714285,12.374265593545008,5.0,4.0,2.0,5.0,17.642857142857142,6.107142857142857,0.34615384615384615,10.642857142857142,16.464285714285715,0.6464208242950108,17.035714285714285,64.07139047619047,98.40530584639954,99.5446137625376,0.4921991715416092,-0.02791345725589489,None,1.0,0.0,4.0,11.0,5.0,248.0,236.0,-12.0,263.0,227.0,-36.0
2003,1107,28,7,21,0.25,65.92857142857143,75.71428571428571,-9.785714285714286,11.44975714919361,2.0,9.0,3.0,4.0,22.178571428571427,7.928571428571429,0.35748792270531404,9.928571428571429,13.535714285714286,0.7335092348284961,12.571428571428571,63.839378008658,101.14393930594214,114.80595730399808,0.1272968402660377,0.12270315973396231,None,0.0,0.0,5.0,16.0,5.0,294.0,283.0,-11.0,312.0,308.0,-4.0
2003,1108,33,14,19,0.42424242424242425,69.0909090909091,73.12121212121212,-4.03030303030303,14.374819837574245,7.0,3.0,4.0,2.0,16.333333333333332,5.212121212121212,0.31910946196660483,14.0,20.939393939393938,0.6685962373371925,18.454545454545453,69.84808727272727,98.47352673663535,103.6112386541452,0.31246243146742175,0.1117799927750025,None,0.0,0.0,4.0,15.0,4.0,264.0,291.0,27.0,279.0,293.0,14.0
2003,1110,30,16,14,0.5333333333333333,66.36666666666666,61.9,4.466666666666667,13.035166111544399,5.0,1.0,3.0,6.0,23.133333333333333,8.766666666666667,0.3789625360230548,11.266666666666667,16.533333333333335,0.6814516129032258,13.166666666666666,60.86250666666667,108.44826852301536,101.24949633775735,0.724955161070908,-0.19162182773757463,None,1.0,0.0,5.0,9.0,6.0,166.0,177.0,11.0,143.0,173.0,30.0
2003,1111,26,16,10,0.6153846153846154,83.26923076923077,81.73076923076923,1.5384615384615385,16.952945669231212,7.0,2.0,3.0,1.0,21.96153846153846,7.1923076923076925,0.32749562171628727,18.846153846153847,26.192307692307693,0.7195301027900147,16.192307692307693,74.78285874125875,109.61810461498291,107.27649519709551,0.5644891509328306,0.05089546445178483,None,1.0,0.0,2.0,8.0,3.0,162.0,162.0,0.0,170.0,138.0,-32.0
2003,1112,28,25,3,0.8928571428571429,85.21428571428571,70.25,14.964285714285714,12.330224603611654,11.0,1.0,3.0,2.0,20.071428571428573,7.035714285714286,0.3505338078291815,17.535714285714285,25.0,0.7014285714285714,14.785714285714286,72.56982857142856,116.57530045205831,96.4087472192814,0.936204016734728,-0.04334687387758507,Z01,10.0,5.0,2.0,1.0,12.0,2.0,8.0,6.0,3.0,3.0,0.0
