TeamID,TeamName,FirstD1Season,LastD1Season
1101,Abilene Chr,2014,2026
1102,Air Force,1985,2026
1103,Akron,1985,2026
1104,Alabama,1985,2026
1105,Alabama A&M,2000,2026
1106,Alabama St,1985,2026
1107,SUNY Albany,2000,2026
1108,Alcorn St,1985,2026
1109,Alliant Intl,1985,1991
1110,American Univ,1985,2026
1111,Appalachian St,1985,2026
1112,Arizona,1985,2026
1113,Arizona St,1985,2026
1114,Ark Little Rock,1985,2026
1115,Ark Pine Bluff,1999,2026
1116,Arkansas,1985,2026
1117,Arkansas St,1985,2026
1118,Armstrong St,1987,1987
1119,Army,1985,2026
1120,Auburn,1985,2026
1121,Augusta,1985,1991
1122,Austin Peay,1985,2026
1123,Ball St,1985,2026
1124,Baylor,1985,2026
1125,Belmont,2000,2026
1126,Bethune-Cookman,1985,2026
1127,Binghamton,2002,2026
1128,Birmingham So,2003,2006
1129,Boise St,1985,2026
1130,Boston College,1985,2026
1131,Boston Univ,1985,2026
1132,Bowling Green,1985,2026
1133,Bradley,1985,2026
1134,Brooklyn,1985,1992
1135,Brown,1985,2026
1136,Bryant,2009,2026
1137,Bucknell,1985,2026
1138,Buffalo,1992,2026
1139,Butler,1985,2026
1140,BYU,1985,2026
1141,C Michigan,1985,2026
1142,Cal Poly,1995,2026
1143,California,1985,2026
1144,Campbell,1985,2026
1145,Canisius,1985,2026
1146,Cent Arkansas,2007,2026
1147,Centenary,1985,2011
1148,Central Conn,1987,2026
1149,Charleston So,1985,2026
1150,Charlotte,1985,2026
1151,Chattanooga,1985,2026
1152,Chicago St,1985,2026
1153,Cincinnati,1985,2026
1154,Citadel,1985,2026
1155,Clemson,1985,2026
1156,Cleveland St,1985,2026
1157,Coastal Car,1987,2026
1158,Col Charleston,1992,2026
1159,Colgate,1985,2026
1160,Colorado,1985,2026
1161,Colorado St,1985,2026
1162,Columbia,1985,2026
1163,Connecticut,1985,2026
1164,Coppin St,1986,2026
1165,Cornell,1985,2026
1166,Creighton,1985,2026
1167,CS Bakersfield,2008,2026
1168,CS Fullerton,1985,2026
1169,CS Northridge,1991,2026
1170,CS Sacramento,1992,2026
1171,Dartmouth,1985,2026
1172,Davidson,1985,2026
1173,Dayton,1985,2026
1174,Delaware,1985,2026
1175,Delaware St,1985,2026
1176,Denver,1999,2026
1177,DePaul,1985,2026
1178,Detroit,1985,2026
1179,Drake,1985,2026
1180,Drexel,1985,2026
1181,Duke,1985,2026
1182,Duquesne,1985,2026
1183,E Illinois,1985,2026
1184,E Kentucky,1985,2026
1185,E Michigan,1985,2026
1186,E Washington,1985,2026
1187,East Carolina,1985,2026
1188,SIUE,2009,2026
1189,Elon,2000,2026
1190,ETSU,1985,2026
1191,Evansville,1985,2026
1192,F Dickinson,1985,2026
1193,Fairfield,1985,2026
1194,FL Atlantic,1994,2026
1195,FGCU,2008,2026
1196,Florida,1985,2026
1197,Florida A&M,1985,2026
1198,Florida Intl,1988,2026
1199,Florida St,1985,2026
1200,Fordham,1985,2026
1201,Fresno St,1985,2026
1202,Furman,1985,2026
1203,G Washington,1985,2026
1204,Ga Southern,1985,2026
1205,Gardner Webb,2003,2026
1206,George Mason,1985,2026
1207,Georgetown,1985,2026
1208,Georgia,1985,2026
1209,Georgia St,1985,2026
1210,Georgia Tech,1985,2026
1211,Gonzaga,1985,2026
